"name","name_espn","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"BERNARDPIERCE","Bernard Pierce","RB","BAL",43,161,0,0,0,0,0,526,3,22,110,0,NA,NA,81
"STEVEJOHNSON","Steve Johnson","WR","SF",54,161,0,0,0,0,0,0,0,48,590,4,NA,NA,81
"ODELLBECKHAM","Odell Beckham","WR","NYG",63,161,0,0,0,0,0,15,0,37,586,4,NA,NA,81
"ANDREROBERTS","Andre Roberts","WR","WAS",70,164,0,0,0,0,0,17,0,40,545,4,NA,NA,79
"DARRENMCFADDEN","Darren McFadden","RB","OAK",42,165,0,0,0,0,0,443,4,17,123,0,NA,NA,78
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",66,165,0,0,0,0,0,177,1,53,476,2,NA,NA,78
"DEXTERMCCLUSTER","Dexter McCluster","WR","TEN",58,165,0,0,0,0,0,177,1,53,476,2,NA,NA,78
"RODSTREATER","Rod Streater","WR","OAK",61,165,0,0,0,0,0,17,0,44,617,3,NA,NA,78
"MARKINGRAM","Mark Ingram","RB","NO",44,169,0,0,0,0,0,531,3,12,77,0,NA,NA,76
"MARVINJONES","Marvin Jones","WR","CIN",81,169,0,0,0,0,0,48,0,41,483,4,NA,NA,76
"HARRYDOUGLAS","Harry Douglas","WR","ATL",76,171,0,0,0,0,0,0,0,56,657,2,NA,NA,75
"HEATHMILLER","Heath Miller","TE","PIT",19,171,0,0,0,0,0,0,0,61,632,2,NA,NA,75
"TREMASON","Tre Mason","RB","STL",51,173,0,0,0,0,0,435,3,19,155,0,NA,NA,74
"KENNYBRITT","Kenny Britt","WR","STL",71,173,0,0,0,0,0,0,0,37,525,4,NA,NA,74
"CHRISGIVENS","Chris Givens","WR","STL",91,173,0,0,0,0,0,31,0,41,671,1,NA,NA,74
"CARLOSHYDE","Carlos Hyde","RB","SF",50,176,0,0,0,0,0,495,3,16,108,0,NA,NA,73
"JORDANTODMAN","Jordan Todman","RB","JAC",60,176,0,0,0,0,0,330,2,29,224,1,NA,NA,73
"MIKETOLBERT","Mike Tolbert","RB","CAR",71,176,0,0,0,0,0,273,4,29,167,1,NA,NA,73
"JEROMESIMPSON","Jerome Simpson","WR","MIN",72,176,0,0,0,0,0,0,0,46,572,3,NA,NA,73
"ROBERTWOODS","Robert Woods","WR","BUF",73,176,0,0,0,0,0,11,0,40,545,3,NA,NA,73
"COBYFLEENER","Coby Fleener","TE","IND",17,176,0,0,0,0,0,0,0,37,433,5,NA,NA,73
"NATEWASHINGTON","Nate Washington","WR","TEN",80,182,0,0,0,0,0,0,0,39,600,2,NA,NA,72
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",85,182,0,0,0,0,0,19,0,51,616,2,NA,NA,72
"DONALDBROWN","Donald Brown","RB","SD",46,184,0,0,0,0,0,375,2,22,169,1,NA,NA,71
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",78,184,0,0,0,0,0,0,0,39,538,3,NA,NA,71
"ERICEBRON","Eric Ebron","TE","DET",18,184,0,0,0,0,0,0,0,33,476,4,NA,NA,71
"JAREDCOOK","Jared Cook","TE","STL",25,184,0,0,0,0,0,0,0,47,537,3,NA,NA,71
"CJANDERSON","C.J. Anderson","RB","DEN",54,188,0,0,0,0,0,511,2,20,115,0,NA,NA,70
"LANCEMOORE","Lance Moore","WR","PIT",79,188,0,0,0,0,0,0,0,50,602,2,NA,NA,70
"TYLEREIFERT","Tyler Eifert","TE","CIN",21,190,0,0,0,0,0,0,0,45,505,3,NA,NA,68
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",74,191,0,0,0,0,0,0,0,36,513,3,NA,NA,67
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",83,191,0,0,0,0,0,0,0,33,492,3,NA,NA,67
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",99,193,0,0,0,0,0,29,0,48,540,2,NA,NA,66
"JAMESSTARKS","James Starks","RB","GB",52,194,0,0,0,0,0,402,3,9,70,0,NA,NA,65
"KNILEDAVIS","Knile Davis","RB","KC",53,194,0,0,0,0,0,362,4,12,71,0,NA,NA,65
"TEDGINN","Ted Ginn","WR","ARI",87,194,0,0,0,0,0,28,0,29,452,3,NA,NA,65
"MARCELREECE","Marcel Reece","RB","OAK",69,197,0,0,0,0,0,216,1,42,398,0,NA,NA,64
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",23,197,0,0,0,0,0,0,0,29,345,5,NA,NA,64
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",45,199,0,0,0,0,0,456,2,9,74,0,NA,NA,62
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",49,199,0,0,0,0,0,391,4,2,11,0,NA,NA,62
"EDDIEROYAL","Eddie Royal","WR","SD",86,199,0,0,0,0,0,13,0,42,431,3,NA,NA,62
"NATEBURLESON","Nate Burleson","WR","CLE",88,199,0,0,0,0,0,10,0,35,390,4,NA,NA,62
"RYANGRIFFIN","Ryan Griffin","TE","HOU",26,199,0,0,0,0,0,0,0,39,440,3,NA,NA,62
"BRIANHOYER","Brian Hoyer","QB","CLE",35,204,159,98,1148,8,8,49,0,0,0,0,NA,NA,61
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",61,205,0,0,0,0,0,403,1,13,106,1,NA,NA,60
"MARLONBROWN","Marlon Brown","WR","BAL",84,205,0,0,0,0,0,0,0,33,363,4,NA,NA,60
"ANDREWILLIAMS","Andre Williams","RB","NYG",56,207,0,0,0,0,0,415,3,7,45,0,NA,NA,59
"JARVISLANDRY","Jarvis Landry","WR","MIA",90,207,0,0,0,0,0,0,0,36,476,2,NA,NA,59
"MYCHALRIVERA","Mychal Rivera","TE","OAK",29,207,0,0,0,0,0,0,0,37,414,3,NA,NA,59
"ANDREHOLMES","Andre Holmes","WR","OAK",75,210,0,0,0,0,0,0,0,35,463,2,NA,NA,58
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",57,211,0,0,0,0,0,302,1,20,154,1,NA,NA,57
"JOSHGORDON","Josh Gordon","WR","CLE",68,211,0,0,0,0,0,11,0,22,383,3,NA,NA,57
"DWAYNEALLEN","Dwayne Allen","TE","IND",20,211,0,0,0,0,0,0,0,35,411,3,NA,NA,57
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",62,214,0,0,0,0,0,265,2,18,149,1,NA,NA,56
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",89,214,0,0,0,0,0,26,0,31,386,3,NA,NA,56
"JACEAMARO","Jace Amaro","TE","NYJ",24,216,0,0,0,0,0,0,0,31,376,3,NA,NA,55
"SCOTTCHANDLER","Scott Chandler","TE","BUF",32,216,0,0,0,0,0,0,0,42,439,2,NA,NA,55
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",58,218,0,0,0,0,0,276,2,23,176,0,NA,NA,54
"COLEBEASLEY","Cole Beasley","WR","DAL",94,218,0,0,0,0,0,0,0,46,423,2,NA,NA,54
"OWENDANIELS","Owen Daniels","TE","BAL",22,220,0,0,0,0,0,0,0,33,341,3,NA,NA,52
"GARRETTGRAHAM","Garrett Graham","TE","HOU",27,221,0,0,0,0,0,0,0,31,338,3,NA,NA,51
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",59,222,0,0,0,0,0,250,3,13,79,0,NA,NA,50
