player,pos,team,overallRank,projections,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk,positionRank,vor
Travaris Cadet,RB,NO,266,43.49952268,41.922,43.49952268,185,24.01150391,9,5.309510775,80,-74.52923145
Davante Adams,WR,GB,267,49.24286638,52.15142857,49.24286638,176.8,25.26050936,11.4,5.712606929,105,-74.71860152
Richard Rodgers,TE,GB,268,31.05,28.4,31.05,163.15,10.9001529,5.25,3.305420381,60,-74.7251391
Cody Latimer,WR,DEN,269,48.7499965,37.26571429,48.7499965,179.9,23.43447603,32.1,7.637864514,106,-75.21147139
Ed Dickson,TE,CAR,270,30.25,30.58,30.25,NA,17.89851949,NA,5.625042981,61,-75.5251391
Jason Avant,WR,CAR,271,48.425,48.06571429,48.425,NA,16.06916598,NA,5.174497553,107,-75.5364679
Jerick McKinnon,RB,MIN,272,42.47132639,37.08333333,42.47132639,218.3,24.2000551,35.1,8.043752286,81,-75.55742774
Stephen Hill,WR,NYJ,273,48.34958465,40.42285714,48.34958465,178.5,14.69349062,3.5,3.59077113,108,-75.61188324
Brandon Bolden,RB,NE,274,42.15000543,41.39714286,42.15000543,NA,16.53183192,NA,5.288446018,82,-75.87874871
Andre Brown,RB,HOU,275,41.55,41.55,41.55,142.25,10.39446968,8.8,3.61188949,83,-76.47875413
Jacob Tamme,TE,DEN,276,29.225,30.1,29.225,NA,14.96028075,NA,4.901393876,62,-76.5501391
Kevin Ogletree,WR,DET,277,47.05,46.36666667,47.05,NA,3.611555528,NA,2.106353871,109,-76.9114679
Johnny Manziel,QB,CLE,278,243.9890413,251.8457143,243.9890413,144.0125,50.51494791,18.44455,9.55424465,24,-76.96496297
Marquise Goodwin,WR,BUF,279,46.93608294,38.58371429,46.93608294,NA,20.47202034,NA,6.258861994,110,-77.02538495
Jim Dray,TE,CLE,280,28.25,28.25,28.25,NA,11.38441918,NA,4.020706755,63,-77.5251391
Peyton Hillis,RB,NYG,281,40.30000563,37.96666667,40.30000563,NA,18.15154723,NA,5.687360345,84,-77.7287485
A.J. Jenkins,WR,KC,282,45.90942682,46.13742857,45.90942682,NA,10.92311594,NA,3.907093907,111,-78.05204107
Austin Collie,WR,NA,283,45.9,45.9,45.9,NA,NA,NA,NA,112,-78.0614679
Fozzy Whittaker,RB,CAR,284,39.8,39.8,39.8,NA,NA,NA,NA,85,-78.22875413
Jarvis Landry,WR,MIA,285,45.70021862,44.23428571,45.70021862,235.5,25.23170719,48.5,9.56265943,113,-78.26124928
E.J. Manuel,QB,BUF,286,242.3746183,243.6742857,242.3746183,173.9,20.46465571,17.2,5.724478947,25,-78.57938605
Dri Archer,RB,PIT,287,39.15031217,32.85142857,39.15031217,NA,18.54838717,NA,5.785096743,86,-78.87844196
Mike James,RB,TB,288,38.8847871,38.21142857,38.8847871,NA,10.20912943,NA,3.731248531,87,-79.14396703
Jonathan Dwyer,RB,ARI,289,38.875,35.66285714,38.875,198.4,13.21599896,22.9,5.423917522,88,-79.15375413
Robert Housler,TE,ARI,290,26.15,26.15,26.15,NA,13.08147545,NA,4.438669133,64,-79.6251391
Zach Sudfeld,TE,NYJ,291,25.855,24.17333333,25.855,NA,10.29602512,NA,3.752649783,65,-79.9201391
Brandon Lloyd,WR,SF,292,43.75,45.93333333,43.75,NA,4.82113403,NA,2.40425696,114,-80.2114679
Paul Richardson,WR,SEA,293,43.69995957,43.3,43.69995957,223,15.47950258,44,7.894322613,115,-80.26150832
Bryce Brown,RB,BUF,294,37.30018295,39.38857143,37.30018295,155.1,10.68539101,12.2,4.000874559,89,-80.72857119
Ace Sanders,WR,JAC,295,43.16087056,43.70733333,43.16087056,NA,20.46417724,NA,6.256930343,116,-80.80059733
Tony Moeaki,TE,BUF,296,24.78545006,23.4875,24.78545006,NA,17.1262165,NA,5.434835031,66,-80.98968904
Mikel Leshoure,RB,DET,297,36.81516814,27.88333333,36.81516814,NA,23.87655754,NA,7.097354203,90,-81.21358599
Mario Manningham,WR,NYG,298,42.5,38.3,42.5,NA,34.56428793,NA,9.729599978,117,-81.4614679
BenJarvus Green-Ellis,RB,CIN,299,36.49273222,36.17285714,36.49273222,169.8,11.69736784,21.5,5.091489362,91,-81.53602192
DuJuan Harris,RB,GB,300,36.46240783,26.05083333,36.46240783,NA,12.1878888,NA,4.218590631,92,-81.5663463
Logan Paulsen,TE,WAS,301,23.85,25.53333333,23.85,NA,11.8449708,NA,4.134134492,67,-81.9251391
Santonio Holmes,WR,CHI,302,41.95,42.03333333,41.95,NA,23.02006371,NA,6.886411171,118,-82.0114679
Devin Street,WR,DAL,303,41.9,36.95,41.9,NA,15.80558973,NA,5.10958223,119,-82.0614679
Mike Brown,WR,JAC,304,41.83555241,33.54,41.83555241,NA,3.982775414,NA,2.197780389,120,-82.12591549
Quinton Patton,WR,SF,305,41.7,42.48333333,41.7,NA,10.93434955,NA,3.909860594,121,-82.2614679
Junior Hemingway,WR,KC,306,41.69976341,41.83666667,41.69976341,NA,13.89538293,NA,4.639123714,122,-82.26170448
Denard Robinson,WR,JAX,307,41.45038554,38.535,41.45038554,NA,23.24546443,NA,6.941924369,123,-82.51108236
David Nelson,WR,NYJ,308,41.00594478,30.61166667,41.00594478,NA,14.14874553,NA,4.701523551,124,-82.95552312
Jarius Wright,WR,MIN,309,40.79940876,41.23666667,40.79940876,NA,23.56548323,NA,7.020740741,125,-83.16205914
Marcus Lattimore,RB,SF,310,34.66233128,31.23333333,34.66233128,178.7,23.56587929,6.1,4.953410325,93,-83.36642286
Arrelious Benn,WR,PHI,311,40.4,40.4,40.4,NA,NA,NA,NA,126,-83.5614679
Joe Morgan,WR,NO,312,39.975,42.1,39.975,NA,10.9658561,NA,3.917620239,127,-83.9864679
Isaiah Crowell,RB,CLE,313,33.63104759,33.39,33.63104759,178.3,12.27754047,13.3,4.311194833,94,-84.39770654
Alfred Blue,RB,HOU,314,33.44883687,31.472,33.44883687,181,12.09580175,39.2,6.979063485,95,-84.57991726
Michael Hoomanawanui,TE,NE,315,21.1675,19.32333333,21.1675,NA,8.283093223,NA,3.256891442,68,-84.6076391
Allen Hurns,WR,JAC,316,39.3,39.3,39.3,NA,33.37544007,NA,9.436802571,128,-84.6614679
Willis McGahee,RB,NA,317,33.2,33.2,33.2,NA,NA,NA,NA,96,-84.82875413
Jared Abbrederis,WR,GB,318,38.7,38.7,38.7,NA,NA,NA,NA,129,-85.2614679
T.J. Graham,WR,BUF,319,37.875,35.74166667,37.875,NA,15.03484841,NA,4.919758899,130,-86.0864679
Jon Baldwin,WR,DET,320,37.75,37.75,37.75,NA,2.050609665,NA,1.721913676,131,-86.2114679
Kellen Davis,TE,NYG,321,19.35,19.35,19.35,NA,25.5265548,NA,7.503726572,69,-86.4251391
Griff Whalen,WR,IND,322,37.52090012,34.6,37.52090012,NA,16.6807274,NA,5.325116994,132,-86.44056777
Robert Meachem,WR,NO,323,37.4005422,31.22666667,37.4005422,NA,18.9336399,NA,5.879979364,133,-86.5609257
Jeff Janis,WR,GB,324,37.1,37.1,37.1,NA,NA,NA,NA,134,-86.8614679
Keshawn Martin,WR,HOU,325,36.74958657,39.05333333,36.74958657,NA,13.38189075,NA,4.512657423,135,-87.21188132
Da'Rick Rogers,WR,IND,326,36.6,36.09166667,36.6,NA,7.583095234,NA,3.084491252,136,-87.3614679
LaRod Stephens-Howling,RB,NA,327,30.4,30.4,30.4,NA,NA,NA,NA,97,-87.62875413
Mike Goodson,RB,NYJ,328,30.3,30.3,30.3,NA,NA,NA,NA,98,-87.72875413
Ryan Broyles,WR,DET,329,35.84287593,28.94166667,35.84287593,NA,23.8742958,NA,7.096797167,137,-88.11859196
Chris Ogbonnaya,RB,CLE,330,29.80791236,25.29333333,29.80791236,NA,20.72253202,NA,6.320559688,99,-88.22084177
Jake Locker,QB,TEN,331,232.6186094,235.4514286,232.6186094,167.3,56.17802383,18.7,10.27814852,26,-88.33539489
Darrel Young,RB,WAS,332,29.5,29.5,29.5,NA,6.081118318,NA,2.714574324,100,-88.52875413
Donte Moncrief,WR,IND,333,34.95144454,31.92,34.95144454,183.5,22.72194241,7.5,4.994903955,138,-89.01002335
