"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",9,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,1300.5,15.8,8,NA,1,171
"TOBYGERHART","Toby Gerhart","RB","JAC",15,55,NA,NA,NA,NA,NA,NA,NA,287.5,1188.5,4.1,6.5,35,242,6.9,1,NA,1.5,170
"ANDREELLINGTON","Andre Ellington","RB","ARI",16,56,NA,NA,NA,NA,NA,NA,NA,199,985,4.9,4.5,54.5,485,8.9,2,NA,1.5,168
"RANDALLCOBB","Randall Cobb","WR","GB",10,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,1172.5,13.6,8,NA,1,167
"BISHOPSANKEY","Bishop Sankey","RB","TEN",17,58,NA,NA,NA,NA,NA,NA,NA,265,1173,4.4,5.5,31,248.5,8,1,NA,1.5,163
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",31,59,402,246.5,2649.5,15.5,15.5,61.3,6.6,28.5,122,4.3,0.5,NA,NA,NA,NA,NA,2.5,162
"MICHAELCRABTREE","Michael Crabtree","WR","SF",11,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,1209.5,14.7,8.5,NA,1,162
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",12,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,1096,13,10,NA,0,161
"RYANMATHEWS","Ryan Mathews","RB","SD",18,62,NA,NA,NA,NA,NA,NA,NA,263,1126.5,4.3,7,24,162,6.8,1,NA,1.5,159
"VINCENTJACKSON","Vincent Jackson","WR","TB",13,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,1176.5,16,8,NA,0,158
"SHANEVEREEN","Shane Vereen","RB","NE",19,64,NA,NA,NA,NA,NA,NA,NA,140.5,642,4.6,3,64.5,598,9.3,5,NA,1,155
"JOIQUEBELL","Joique Bell","RB","DET",20,65,NA,NA,NA,NA,NA,NA,NA,202.5,889.5,4.4,7.5,44,351.5,8,1,NA,2.5,154
"ANDREJOHNSON","Andre Johnson","WR","HOU",14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1281.5,13.6,5.5,NA,0,154
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,988.5,13,10.5,NA,0,154
"PIERREGARCON","Pierre Garcon","WR","WAS",15,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,1229.5,14.2,6.5,NA,0.5,153
"REGGIEBUSH","Reggie Bush","RB","DET",21,69,NA,NA,NA,NA,NA,NA,NA,193.5,910.5,4.7,3.5,47,425,9,3,NA,2.5,150
"CJSPILLER","C.J. Spiller","RB","BUF",22,70,NA,NA,NA,NA,NA,NA,NA,214.5,1057.5,4.9,4.5,38,280.5,7.4,1.5,NA,2.5,149
"JULIUSTHOMAS","Julius Thomas","TE","DEN",3,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,957,12.4,10.5,NA,0.5,149
"KEENANALLEN","Keenan Allen","WR","SD",16,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,1071,15.4,8.5,NA,1,147
"RAYRICE","Ray Rice","RB","BAL",23,73,NA,NA,NA,NA,NA,NA,NA,188.5,857,4.5,5.5,43.5,371,8.5,1.5,NA,2,146
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",17,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5,947,14.7,6.5,NA,0,146
"FRANKGORE","Frank Gore","RB","SF",24,75,NA,NA,NA,NA,NA,NA,NA,231,1043.5,4.5,7.5,16,127.5,8,0,NA,1,145
"MICHAELFLOYD","Michael Floyd","WR","ARI",18,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,1108,14,7,NA,0,145
"RODDYWHITE","Roddy White","WR","ATL",18,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1088.5,12.7,7.5,NA,0.5,145
"RASHADJENNINGS","Rashad Jennings","RB","NYG",25,78,NA,NA,NA,NA,NA,NA,NA,215,937,4.4,5.5,40,304,7.6,1,NA,2.5,142
