"name","name_cbs2","pos","team_cbs2","positionRank_cbs2","overallRank_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","passCompPct_cbs2","passYdsPerAtt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushYdsPerAtt_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recYdsPerRec_cbs2","recTds_cbs2","twoPts_cbs2","fumbles_cbs2","pts_cbs2"
"TRAVISKELCE","Travis Kelce","TE","KC",30,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,417,14.9,3,NA,0,52
"SHONNGREENE","Shonn Greene","RB","TEN",59,213,NA,NA,NA,NA,NA,NA,NA,104,415,4,3,8,51,6.4,0,NA,1,51
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",86,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,470,16.8,2,NA,0,51
"JOHNCARLSON","John Carlson","TE","ARI",32,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,340,10.3,4,NA,0,51
"BRENTCELEK","Brent Celek","TE","PHI",32,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,407,12.7,3,NA,0,51
"BOBBYRAINEY","Bobby Rainey","RB","TB",60,217,NA,NA,NA,NA,NA,NA,NA,98,405,4.1,1,16,122,7.6,1,NA,0,50
"ROBERTTURBIN","Robert Turbin","RB","SEA",61,218,NA,NA,NA,NA,NA,NA,NA,94,430,4.6,2,8,68,8.5,0,NA,0,49
"NATEBURLESON","Nate Burleson","WR","CLE",87,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,462,11.3,2,NA,0,49
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",34,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,395,13.6,3,NA,0,49
"MIKETOLBERT","Mike Tolbert","RB","CAR",62,221,NA,NA,NA,NA,NA,NA,NA,72,266,3.7,3,21,137,6.5,1,NA,0,48
"DRIARCHER","Dri Archer","RB","PIT",62,221,NA,NA,NA,NA,NA,NA,NA,31,171,5.5,1,25,290,11.6,2,NA,0,48
"LUKEWILLSON","Luke Willson","TE","SEA",35,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,377,14,3,NA,0,48
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",64,224,NA,NA,NA,NA,NA,NA,NA,90,346,3.8,2,13,94,7.2,1,NA,1,47
"STEDMANBAILEY","Stedman Bailey","WR","STL",88,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,354,14.2,3,NA,0,47
"STEVEJOHNSON","Steve Johnson","WR","SF",88,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,461,11.2,2,NA,1,47
"BRANDONGIBSON","Brandon Gibson","WR","MIA",88,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,481,12.7,1,NA,0,47
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",65,228,NA,NA,NA,NA,NA,NA,NA,101,397,3.9,2,14,125,8.9,0,NA,1,46
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",91,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,366,13.6,3,NA,0,46
"COBYFLEENER","Coby Fleener","TE","IND",36,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,354,11.8,3,NA,0,46
"ROYHELU","Roy Helu","RB","WAS",66,231,NA,NA,NA,NA,NA,NA,NA,75,311,4.1,1,29,225,7.8,0,NA,0,44
"TRAVARISCADET","Travaris Cadet","RB","NO",66,231,NA,NA,NA,NA,NA,NA,NA,38,167,4.4,0,38,309,8.1,2,NA,0,44
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",37,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,354,10.7,3,NA,1,44
"DONALDBROWN","Donald Brown","RB","SD",68,234,NA,NA,NA,NA,NA,NA,NA,78,338,4.3,2,12,97,8.1,0,NA,0,43
"PAULRICHARDSON","Paul Richardson","WR","SEA",92,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,395,18.8,2,NA,0,43
"DENARIUSMOORE","Denarius Moore","WR","OAK",92,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,427,14.2,2,NA,2,43
"ZACHMILLER","Zach Miller","TE","SEA",38,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,321,10.4,3,NA,0,43
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",69,238,NA,NA,NA,NA,NA,NA,NA,67,308,4.6,1,28,224,8,0,NA,1,42
"DEVIERPOSEY","DeVier Posey","WR","HOU",94,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,375,12.9,2,NA,0,42
"KEVINOGLETREE","Kevin Ogletree","WR","DET",94,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,378,17.2,2,NA,0,42
"DEVINSTREET","Devin Street","WR","DAL",94,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,374,14.4,2,NA,0,42
"OWENDANIELS","Owen Daniels","TE","BAL",39,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,379,11.8,2,NA,0,42
"MATTCASSEL","Matt Cassel","QB","MIN",39,243,144,92,861,4,4,63.9,6,11,41,3.7,0,NA,NA,NA,NA,NA,2,41
"CHRISGIVENS","Chris Givens","WR","STL",97,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,364,13.5,2,NA,0,40
"JACOBYJONES","Jacoby Jones","WR","BAL",97,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,358,14.9,2,NA,0,40
"AARONDOBSON","Aaron Dobson","WR","NE",97,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,357,14.3,2,NA,0,40
"MARCUSLATTIMORE","Marcus Lattimore","RB","SF",70,247,NA,NA,NA,NA,NA,NA,NA,72,308,4.3,2,9,82,9.1,0,NA,0,39
"MARCELREECE","Marcel Reece","RB","OAK",70,247,NA,NA,NA,NA,NA,NA,NA,38,167,4.4,3,21,206,9.8,0,NA,0,39
"LANCEKENDRICKS","Lance Kendricks","TE","STL",40,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,299,11.1,3,NA,0,39
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",100,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,325,16.2,2,NA,0,38
"SANTONIOHOLMES","Santonio Holmes","WR","CHI",100,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,277,13.8,3,NA,0,38
"ANTHONYFASANO","Anthony Fasano","TE","KC",41,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,278,11.1,3,NA,0,38
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",72,253,NA,NA,NA,NA,NA,NA,NA,68,256,3.8,0,23,171,7.4,2,NA,1,37
"LACHESEASTRUNK","Lache Seastrunk","RB","WAS",72,253,NA,NA,NA,NA,NA,NA,NA,72,303,4.2,2,9,101,11.2,0,NA,0,37
"TEDGINN","Ted Ginn","WR","ARI",102,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,324,15.4,2,NA,0,37
"CODYLATIMER","Cody Latimer","WR","DEN",103,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,308,12.3,2,NA,0,35
"BRANDONLLOYD","Brandon Lloyd","WR","SF",103,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,312,12.5,2,NA,0,35
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",42,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,307,12.3,2,NA,0,35
"EDDICKSON","Ed Dickson","TE","CAR",42,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,316,10.5,2,NA,0,35
"DANIELTHOMAS","Daniel Thomas","RB","MIA",74,260,NA,NA,NA,NA,NA,NA,NA,73,290,4,2,6,42,7,0,NA,0,34
